epoch,train_loss,valid_loss,accuracy,time
0,6.400428772,6.368765354,0.017116658,1:01:06
1,6.07847023,5.998815536,0.035743065,1:01:24
2,5.767766953,5.727928162,0.054147176,1:00:26
3,5.530916691,5.471553326,0.074820541,1:00:29
4,5.379862309,5.271567822,0.092752278,1:01:34
5,5.158287048,5.091572285,0.108775996,1:00:48
6,4.940917015,4.914216518,0.126300186,59:55:00
7,4.78322649,4.754909992,0.141573653,1:01:50
8,4.604670525,4.601581097,0.157523274,1:01:04
9,4.529053688,4.460296631,0.17183347,1:00:46
10,4.384221077,4.328184128,0.18686612,1:01:51
11,4.190760136,4.197264671,0.202185899,1:00:41
12,4.058193684,4.086995125,0.214569539,1:00:04
13,3.975070238,3.979104996,0.227981284,59:12:00
14,3.817954302,3.876517057,0.238799617,58:32:00
15,3.710928679,3.771785975,0.254119396,59:21:00
16,3.647919178,3.669318199,0.267929435,59:24:00
